읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,42,556, - , - ,109,185,14
대정읍,면  적,41.5,477.7, - , - ,72.3,68.7,3.6
대정읍,생산량,894,"13,999", - , - ,"1,960","2,634",110
남원읍,농가수,129,"2,908",194,390,613,"1,295",97
남원읍,면  적,140.8,"3,167.20",211.1,198.3,545.2,659.2,34.7
남원읍,생산량,"3,440","100,909","10,320","17,642","15,877","27,380",847
성산읍,농가수,184,"1,455",33,21,21,230,147
성산읍,면  적,62.1,807,17.7,10.3,10.3,89.1,34.6
성산읍,생산량,"1,418","18,238",608,715,238,"2,491",131
안덕면,농가수,189,645,26,11,126,120,18
안덕면,면  적,76.4,679.9,7.6,9.1,72.8,48.4,15.3
안덕면,생산량,"1,644","16,438",183,462,"1,850","1,734",578
표선면,농가수,32,769, - ,77,92,536,34
표선면,면  적,38,912, - ,39.6,66,268.8,8.3
표선면,생산량,851,"20,422", - ,"2,092","3,487","7,861",160
송산동,농가수,36,227,14,29,25,92, - 
송산동,면  적,2.5,122.8, - ,12,6.9,27.5, - 
송산동,생산량,82,456,11,666,118,627, - 
천지동,농가수,,1,,,,9,5
천지동,면  적,,0.4,,,,2,0.5
천지동,생산량,,8,,,,66,4
효돈동,농가수,171,"1,141", - ,15,31,156,12
효돈동,면  적,89.1,173, - ,3.6,21.5,62.8,5.5
효돈동,생산량,"2,439","4,153", - ,532,"1,170","2,152",187
영천동,농가수,257,"1,439",17, - ,42,287,47
영천동,면  적,72.6,440.5,5.2, - ,34.1,111.4,18.1
영천동,생산량,"2,385","13,353",159, - ,994,"2,921",60
동홍동,농가수,51,287, - , - ,4,55,11
동홍동,면  적,14.1,126.9, - ,1.7,3.4,25,2.2
동홍동,생산량,293,"3,723",167,49,97,498,37
서홍동,농가수,46,336, - , - ,10,95,15
서홍동,면  적,29.9,219.2, - , - ,6.2,30.3,25.8
서홍동,생산량,968,"7,097", - , - ,204,"1,103",939
대륜동,농가수,39,515,6,7, - ,94,5
대륜동,면  적,41.1,366,4.1, - , - ,49.8,1
대륜동,생산량,"1,352","12,168", - , - , - ,"1,310",27
대천동,농가수,63,605,28,13,79,507,5
대천동,면  적,81.5,495.2,50.1,8.8,70.6,176.6, - 
대천동,생산량,"2,003","11,302","1,001",224,"3,130","4,918", - 
중문동,농가수,121,"1,078",12, - ,42,141,14
중문동,면  적,67.3,538.7,6.1, - ,28.1,52.9,3.4
중문동,생산량,"1,571","12,425",286,170,850,"1,598",102
예래동,농가수,28,531, - ,13, - ,80,5
예래동,면  적,29.8,565.3, - ,6.4, - ,43.4,1.3
예래동,생산량,745,"9,897", - ,236, - ,918,28
