읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,,,, - ,118,217,16
대정읍,면  적,39.4,492.7,, - ,62.4,69.9,4
대정읍,생산량,977,"12,275.00",, - ,"1,281.00","2,525.00",139.1
남원읍,농가수,171,"3,576",210,419,752,"1,292",126
남원읍,면  적,158,"3,301.50",194.2,161.2,611.9,558.9,33
남원읍,생산량,"4,134.00","126,021.00","8,118.00","13,999.00","12,677.00","21,150.90",808
성산읍,농가수,73,"1,049",36,1,146,147,54
성산읍,면   적,39,812.9,20,0.3,59.1,62.2,5
성산읍,생산량,"1,016.00","24,097.00",710,16,"1,223.00","1,392.00",100
안덕면,농가수,235,965,29,14,132,151,22
안덕면,면   적,78,739.7,10,5.3,63.5,51.9,16
안덕면,생산량,"1,507.00","19,390.00",220,380,"1,310.00","1,577.70",523.3
표선면,농가수,,,,89,83,637,31
표선면,면   적,38,937,,34.6,55,262.3,8.1
표선면,생산량,"1,045.00","26,704.00",,"2,832.00","1,138.00","10,631.90",220
송산동,농가수,34,283,18,34,14,90,
송산동,면   적,6.8,161.4,4.2,12.3,4.2,31.5,
송산동,생산량,254,"5,724.00",108,940,21,"1,034.70",
천지동,농가수,9,27,13,,,8,
천지동,면   적,2.9,7.8,4,,,2.7,
천지동,생산량,71,195,96,,,103.6,
효돈동,농가수,102,690,,10,36,194,
효돈동,면   적,35.4,295,,3.3,23.1,65.4,
효돈동,생산량,"1,458.00","9,567.00",,280,478,"2,155.60",
영천동,농가수,118,701,56,3,59,344,
영천동,면   적,31,621,19,1.1,32.4,130.7,
영천동,생산량,982,"19,328.00",768,90,654,"3,822.50",
동홍동,농가수,53,368,28,2,6,53,
동홍동,면   적,9.7,160.3,5.5,0.5,2.2,17.6,
동홍동,생산량,253,"4,096.00",155,38,33,443.9,
서홍동,농가수,15,318,19,4,26,34,
서홍동,면   적,12.3,246.7,11,1.6,16.4,14.8,
서홍동,생산량,317,"6,365.00",284,130,324,353.1,
대륜동,농가수,15,397,11,3,,96,6
대륜동,면   적,13.2,435.4,6,0.5,,36.4,1
대륜동,생산량,384,"14,629.00",175,38,,"1,068.90",29.2
대천동,농가수,86,755,38,18,90,603,5
대천동,면   적,83.1,520.1,27.5,6.7,70.4,176.7,0.8
대천동,생산량,"1,999.00","16,123.00",700,533,"1,450.00","5,391.00",12.4
중문동,농가수,149,"1,308",12,7,48,175,18
중문동,면   적,67.7,556.7,9,1.5,31.3,55.8,3.7
중문동,생산량,"1,885.00","16,993.00",258,122,635,"1,642.60",78
예래동,농가수,33,644,,14,,100,6
예래동,면   적,29.3,576.6,,5,,41.6,1.4
예래동,생산량,"1,011.00","14,119.00",,376,,"1,068.60",26
