읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,54,679, - , - ,126,217,16
대정읍,면  적,40.4,489.4, - , - ,65.6,69.9,4
대정읍,생산량,874,"13,633", - , - ,"1,643","2,584",114
남원읍,농가수,174,"3,481",210,434,675,"1,448",126
남원읍,면  적,159.8,"3,267.10",194.2,185,549.1,630.3,33
남원읍,생산량,"3,514","86,682","5,657","15,260","15,538","25,566",802
성산읍,농가수,73,"1,046",36,1,143,147,54
성산읍,면  적,39,811.6,20,0.3,57.7,62.2,5
성산읍,생산량,833,"19,126",669,14,"1,599","1,441",127
안덕면,농가수,235,934,29,20,144,151,22
안덕면,면  적,78,728.1,10,7.3,66.7,51.9,16
안덕면,생산량,"1,554","16,345",220,504,"1,783","1,740",594
표선면,농가수,48,891, - ,88,105,636,31
표선면,면  적,38,929, - ,34.6,63,263.1,8.1
표선면,생산량,969,"24,619", - ,"2,536","1,702","9,451",219
송산동,농가수,34,274,18,34,23,90, - 
송산동,면  적,6.8,158.3,4.2,14.5,6.8,31.2, - 
송산동,생산량,244,"4,385",109,981,104,975, - 
천지동,농가수,9,27,13, - , - ,8, - 
천지동,면  적,2,8,4, - , - ,2.7, - 
천지동,생산량,61,245,122, - , - ,103, - 
효돈동,농가수,101,741, - ,17,36,188,6
효돈동,면  적,36,290, - ,4.8,23,63.3,2
효돈동,생산량,929,"6,514", - ,351,643,"2,513",77
영천동,농가수,116,692,56,3,73,339, - 
영천동,면  적,30,615,19,1.1,38.4,129.8, - 
영천동,생산량,950,"17,015",668,60,"1,076","3,486", - 
동홍동,농가수,53,356,28,1,6,54, - 
동홍동,면  적,9.7,159.3,5.5,0.3,2.2,17.8, - 
동홍동,생산량,281,"3,761",167,15,65,525, - 
서홍동,농가수,15,318,19,2,40,43, - 
서홍동,면  적,12.3,240,11,1.2,15.8,17.8, - 
서홍동,생산량,372,"7,380",338,75,448,653, - 
대륜동,농가수,15,397,11,5, - ,96,6
대륜동,면  적,13.2,435.4,6,1, - ,36.4,1
대륜동,생산량,384,"12,054",175,60, - ,"1,155",29
대천동,농가수,74,746,36,24,102,619,5
대천동,면  적,81.6,512.5,26.7,9.1,74.4,181.1,0.8
대천동,생산량,"1,890","13,410","1,104",565,"2,476","5,176",12
중문동,농가수,150,"1,302",9,13,47,178,18
중문동,면  적,67.8,554.4,8.1,3.6,31.4,56.6,3.7
중문동,생산량,"1,880","14,513",256,211,898,"1,758",98
예래동,농가수,33,642, - ,14,2,100,6
예래동,면  적,29.4,575.6, - ,5,0.6,41.6,1.4
예래동,생산량,"1,000","13,987", - ,292, - ,"1,157",26
