읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,52,703, - , - ,110,212,16
대정읍,면적,39,498, - , - ,58,68,4
대정읍,생산량,"1,202","16,809", - , - ,"1,968","2,373",143
남원읍,농가수,157,"3,677",216,403,687,"1,289",126
남원읍,면적,158,"3,345",194,138,596,558,33
남원읍,생산량,"5,291","123,087","6,589","12,269","16,259","22,338",541
성산읍,농가수,73,"1,068",25,1,140,148,54
성산읍,면적,39,817,20,0,57,62,5
성산읍,생산량,"1,187","27,513",914,14,"1,935","1,672",129
안덕면,농가수,122,"1,100",14,7,127,147,21
안덕면,면적,78,744,11,2,62,52,17
안덕면,생산량,"2,580","24,267",318,135,"2,183","1,515",479
표선면,농가수,45,936, - ,89,79,621,28
표선면,면적,39,952, - ,34,52,252,7
표선면,생산량,"1,161","31,018", - ,"2,867",237,"9,995",215
송산동,농가수,20,309,10,35,10,89, - 
송산동,면적,8,161,4,12,4,31, - 
송산동,생산량,182,"5,463",116,"1,024",41,639, - 
천지동,농가수,9,27,13, - , - ,8, - 
천지동,면적,3,8,4, - , - ,3, - 
천지동,생산량,86,274,111, - , - ,55, - 
효돈동,농가수,52,669, - ,32,30,177, - 
효돈동,면적,36,299, - ,15,21,54, - 
효돈동,생산량,"1,483","9,253", - ,"1,307",460,"1,298", - 
영천동,농가수,62,781,24,9,57,338, - 
영천동,면적,29,622,20,4,32,128, - 
영천동,생산량,953,"19,315",779,264,907,"3,411", - 
동홍동,농가수,15,431,8, - ,6,51, - 
동홍동,면적,10,161,6, - ,2,17, - 
동홍동,생산량,320,"4,278",156, - ,128,453, - 
서홍동,농가수,15,318,19,40,13,29, - 
서홍동,면적,12,247,11,15,6,13, - 
서홍동,생산량,405,"6,900",310,"1,333",155,237, - 
대륜동,농가수,15,404,11,3, - ,96,6
대륜동,면적,13,438,6,1, - ,36,1
대륜동,생산량,429,"14,031",123,98, - ,901,14
대천동,농가수,86,764,41,28,80,590,5
대천동,면적,83,526,32,12,60,173,1
대천동,생산량,"2,742","16,170",777,"1,043","1,577","5,566",12
중문동,농가수,95,"1,365",12,18,47,169,14
중문동,면적,67,563,9,4,30,54,3
중문동,생산량,"2,204","17,480",230,368,841,"1,678",92
예래동,농가수,33,649,6,8,6,117,11
예래동,면적,29,579,3,3,6,33,2
예래동,생산량,994,"18,752",105,215,104,985,39
