읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,51,714,, - ,95,203,16
대정읍,면적,39,506, - , - ,52,67,4
대정읍,생산량,"1,115","16,666", - , - ,"1,715","2,530",88
남원읍,농가수,160,"3,740",238,408,506,"1,271",126
남원읍,면적,163,"3,414",199,139,531,551,33
남원읍,생산량,"7,110","141,747","7,005","10,951","15,283","21,553",525
성산읍,농가수,73,"1,079",25,1,129,138,54
성산읍,면적,39,826,20,0,52,59,5
성산읍,생산량,"1,180","29,609",748,14,"1,793","1,497",113
안덕면,농가수,132,"1,101",18,7,115,132,20
안덕면,면적,81,762,11,2,51,46,15
안덕면,생산량,"2,475","24,820",320,132,"1,782","1,482",346
표선면,농가수,50,919,32,98,151,539,8
표선면,면적,36,936,25,37,93,211,2
표선면,생산량,"1,119","30,954",890,"2,624","2,633","8,915",60
송산동,농가수,8,327,9,28,5,92, - 
송산동,면적,3,168,4,13,2,30, - 
송산동,생산량,42,"5,562",134,857,22,559, - 
천지동,농가수,10,27,13, - , - ,7, - 
천지동,면적,3,9,4, - , - ,3, - 
천지동,생산량,99,315,128, - , - ,64, - 
효돈동,농가수,52,677,,40,26,174, - 
효돈동,면적,36,302, - ,16,18,53, - 
효돈동,생산량,"1,697","13,675", - ,"1,280",441,"1,416", - 
영천동,농가수,52,797,24,22,50,338, - 
영천동,면적,29,628,20,3,27,128, - 
영천동,생산량,"1,006","23,899",829,195,779,"3,494", - 
동홍동,농가수,15,431,8, - ,4,51, - 
동홍동,면적,10,163,6, - ,1,17, - 
동홍동,생산량,298,"5,035",179, - ,143,437, - 
서홍동,농가수,28,318,19,23,10,29, - 
서홍동,면적,18,247,11,16,5,12, - 
서홍동,생산량,497,"6,661",297,"1,278",147,252, - 
대륜동,농가수,15,411,11,3, - ,96,6
대륜동,면적,13,441,6,1, - ,36,1
대륜동,생산량,306,"10,486",139,98, - ,822,14
대천동,농가수,88,768,44,31,79,579,5
대천동,면적,85,529,33,13,59,169,1
대천동,생산량,"2,391","15,127",945,842,"1,811","5,296",14
중문동,농가수,95,"1,382",12,29,32,168,14
중문동,면적,67,567,9,4,25,54,3
중문동,생산량,"1,752","16,418",262,294,800,"1,508",103
예래동,농가수,36,657,6,8,5,119,11
예래동,면적,31,572,3,6,4,39,2
예래동,생산량,994,"17,329",105,403,104,"1,147",45
