읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,101.0,651.0,10.0,8.0,45.0,400.0,16.0
대정읍,면  적,94.6,515.0,9.0,3.0,33.0,233.1,5.6
대정읍,생산량,"2,400.0","19,575.0",333.0,200.0,"1,015.0","4,943.4",50.5
남원읍,농가수,437.0,"2,889.0",48.0,491.0,591.0,"1,766.0",114.0
남원읍,면  적,284.1,"2,259.5",41.0,220.9,380.0,780.8,77.0
남원읍,생산량,"7,990.0","90,340.0","1,552.0","15,411.0","12,797.0","20,601.0",568.0
성산읍,농가수,90.0,982.0,9.0,8.0,29.0,329.0,63.0
성산읍,면  적,59.0,816.4,7.0,6.0,26.0,130.2,44.5
성산읍,생산량,"1,382.0","27,289.0",259.0,280.0,495.0,"2,874.0",240.5
안덕면,농가수,172.0,861.0,6.0,26.0,60.0,271.0,83.0
안덕면,면  적,152.0,705.0,6.0,11.0,38.0,147.2,72.2
안덕면,생산량,"4,111.0","28,015.0",222.0,767.0,"1,232.0","3,074.0",442.0
표선면,농가수,153.0,916.0,6.0,92.0,112.0,874.0,47.0
표선면,면  적,130.8,898.0,5.0,35.0,70.5,357.6,38.0
표선면,생산량,"3,663.0","34,990.0",185.0,"2,460.0","2,284.0","7,244.0",208.0
송산동,농가수,40.0,143.0,1.0,26.0,20.0,117.0,16.0
송산동,면  적,23.0,90.0,1.0,11.0,13.0,64.3,9.2
송산동,생산량,620.0,"3,491.0",37.0,750.0,407.0,"1,243.0",57.0
천지동,농가수,3.0,7.0,1.0,0.0,0.0,18.0,39.0
천지동,면  적,2.0,5.7,0.5,0.0,0.0,6.3,3.1
천지동,생산량,55.0,221.0,18.5,0.0,0.0,121.0,21.0
효돈동,농가수,157.0,203.0,5.0,26.0,29.0,196.0,16.0
효돈동,면  적,94.0,167.8,4.0,11.2,20.4,114.9,11.6
효돈동,생산량,"2,771.0","6,547.0",148.0,775.0,699.0,"2,404.0",95.5
영천동,농가수,121.0,403.0,9.0,17.0,11.0,137.0,28.0
영천동,면  적,76.0,387.0,8.0,7.0,9.0,121.2,16.6
영천동,생산량,"2,100.0","15,455.0",296.0,490.0,288.0,"3,067.0",70.0
동홍동,농가수,21.0,127.0,1.0,4.0,2.0,90.0,12.0
동홍동,면  적,15.0,127.0,1.5,1.0,1.0,31.7,8.0
동홍동,생산량,423.0,"4,934.0",55.5,69.0,32.0,676.0,68.0
서홍동,농가수,51.0,387.0,3.0,2.0,10.0,121.0,19.0
서홍동,면  적,31.3,221.6,2.5,1.0,5.2,37.6,26.8
서홍동,생산량,802.0,"8,521.0",92.5,69.0,163.0,775.6,204.0
대륜동,농가수,39.0,479.0,4.0,6.0,0.0,145.0,4.0
대륜동,면  적,46.0,393.0,3.0,0.7,0.0,58.2,4.8
대륜동,생산량,"1,311.0","15,572.0",111.0,48.0,0.0,"1,466.0",45.0
대천동,농가수,110.0,601.0,1.0,35.0,43.0,639.0,44.0
대천동,면  적,105.2,481.1,1.0,13.6,16.5,222.3,36.0
대천동,생산량,"2,510.0","17,456.0",37.0,952.0,540.0,"6,062.0",314.0
중문동,농가수,203.0,"1,115.0",2.0,90.0,12.0,308.0,53.0
중문동,면  적,87.0,537.0,2.0,24.0,8.0,101.6,19.9
중문동,생산량,"2,526.0","19,988.0",74.0,"1,650.0",259.0,"2,184.0",130.5
예래동,농가수,228.0,536.0,1.0,18.0,18.0,173.0,10.0
예래동,면  적,191.0,340.9,0.5,6.6,11.1,77.7,2.4
예래동,생산량,"4,435.0","11,507.0",18.5,423.0,360.0,"1,881.0",18.0
