읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,50,727,3,3,92,201,17
대정읍,면적,38.8,505,1,0.9,50,68.2,3.9
대정읍,생산량,"1,067","15,691",29,55,"1,575","1,910",78
남원읍,농가수,180,"4,017",233,489,390,"1,129",126
남원읍,면적,171.3,3527.3,197.9,153.5,416.7,546.1,34.4
남원읍,생산량,"5,021","122,287","6,555","13,211","15,285","18,346",500
성산읍,농가수,73,"1,558",25,5,111,136,54
성산읍,면적,40,837,20,2,45.3,43.7,10.5
성산읍,생산량,"1,244","29,769",740,114,"1,653",965,132
안덕면,농가수,128,"1,239",20,28,112,109,33
안덕면,면적,79.6,763.4,10.6,9.5,42.8,39.9,14.8
안덕면,생산량,"2,220","23,634",318,604,"1,477","1,016",350
표선면,농가수,50,838,32,122,129,526,12
표선면,면적,36.1,946.5,24.9,48,85,208,3.1
표선면,생산량,"1,085","29,511",939,"2,880","2,550","8,242",93
송산동,농가수,10,302,15,40,5,93, - 
송산동,면적,3.6,170,4.5,18.6,0.2,29.5,0
송산동,생산량,62,"4,814",52,862,5,546, - 
천지동,농가수,10,23,13, - , - ,6, - 
천지동,면적,3,10,4,0,0,2.1,0
천지동,생산량,105,450,148, - , - ,63, - 
효돈동,농가수,50,648, - , - ,26,174, - 
효돈동,면적,35,302.8,0,0,18,52.5,0
효돈동,생산량,"1,709","8,879", - , - ,439,"1,366", - 
영천동,농가수,50,769,23,22,38,290,17
영천동,면적,29.2,631.8,19.5,1.7,23.3,100,4.1
영천동,생산량,"1,009","17,949",832,57,781,"2,889",105
동홍동,농가수,15,384,8, - ,4,51, - 
동홍동,면적,9.7,163.3,5.5,0,1.1,17.2,0
동홍동,생산량,310,"5,244",186, - ,18,455, - 
서홍동,농가수,25,284,19,30,22,29, - 
서홍동,면적,18.4,246.7,11,12.7,9.8,11.9,0
서홍동,생산량,510,"6,834",305,356,298,311, - 
대륜동,농가수,15,386,10,3,12,96,6
대륜동,면적,13,446.3,5.7,1,4.9,36.4,1.2
대륜동,생산량,317,"10,966",137,17,7,791,12
대천동,농가수,88,683,44,30,79,578,12
대천동,면적,84.5,531.6,33,13,58.8,168.7,3.1
대천동,생산량,"2,754","17,862","1,109",698,"1,917","5,145",87
중문동,농가수,89,"1,234",12,19,32,168,14
중문동,면적,66,572.8,9,4.9,24.6,50.7,2.8
중문동,생산량,"1,956","19,145",302,266,802,"1,455",78
예래동,농가수,41,488,7,8,5,121,15
예래동,면적,32,589.6,3.4,3.1,4.5,43.2,2.9
예래동,생산량,994,"18,890",105,153,104,"1,147",54
